Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value, 
WBC,ASX,Westpac Banking Corp,2023-06-27,Reinvestment,1.0000,21.08,AUD,,0.00,AUD,1.00,21.08,
DHHF,ASX,Betashares Diversified All Growth Etf,2023-11-01,Buy,3.0000,28.33,AUD,,2.00,AUD,1.00,86.98,
BOQ,ASX,Bank Of Queensland.,2023-11-16,Reinvestment,5.0000,5.37,AUD,,0.00,AUD,1.00,26.83,
WBC,ASX,Westpac Banking Corp,2023-12-19,Reinvestment,2.0000,21.27,AUD,,0.00,AUD,1.00,42.54,
DHHF,ASX,Betashares Diversified All Growth Etf,2024-01-08,Buy,2.0000,30.40,AUD,,2.00,AUD,1.00,62.80,
DHHF,ASX,Betashares Diversified All Growth Etf,2024-01-12,Buy,4.0000,30.60,AUD,,2.00,AUD,1.00,124.40,
SYR,ASX,Syrah Resources,2024-04-10,Buy,130.0000,0.55,AUD,,0.00,AUD,1.00,71.50,
BOQ,ASX,Bank Of Queensland.,2024-05-27,Reinvestment,3.0000,5.92,AUD,,0.00,AUD,1.00,17.76,
WBC,ASX,Westpac Banking Corp,2024-06-25,Reinvestment,1.0000,26.64,AUD,,0.00,AUD,1.00,26.64,
DHHF,ASX,Betashares Diversified All Growth Etf,2024-07-29,Buy,2.0000,34.01,AUD,,2.00,AUD,1.00,70.03,
BOQ,ASX,Bank Of Queensland.,2024-11-19,Reinvestment,3.0000,6.54,AUD,,0.00,AUD,1.00,19.62,
WBC,ASX,Westpac Banking Corp,2024-12-19,Reinvestment,1.0000,33.17,AUD,,0.00,AUD,1.00,33.17,
DHHF,ASX,Betashares Diversified All Growth Etf,2025-05-09,Buy,1.0000,35.78,AUD,,2.00,AUD,1.00,37.78,
BOQ,ASX,Bank Of Queensland.,2025-05-23,Reinvestment,2.0000,7.56,AUD,,0.00,AUD,1.00,15.13,
DHHF,ASX,Betashares Diversified All Growth Etf,2025-06-17,Buy,1.0000,37.28,AUD,,2.00,AUD,1.00,39.28,
WBC,ASX,Westpac Banking Corp,2025-06-27,Reinvestment,1.0000,31.85,AUD,,0.00,AUD,1.00,31.85,
BOQ,ASX,Bank Of Queensland.,2025-11-21,Reinvestment,4.0000,6.81,AUD,,0.00,AUD,1.00,27.24,
GEAR,ASX,Betashares Geared Australian Equities Complex Etf,2025-12-18,Buy,0.8703,34.18,AUD,,0.00,AUD,1.00,29.75,
WBC,ASX,Westpac Banking Corp,2025-12-19,Reinvestment,0.0000,38.09,AUD,,0.00,AUD,1.00,0.00,
GEAR,ASX,Betashares Geared Australian Equities Complex Etf,2026-01-13,Buy,2.8732,35.83,AUD,,0.00,AUD,1.00,102.95,
GEAR,ASX,Betashares Geared Australian Equities Complex Etf,2026-01-19,Reinvestment,0.0107,36.18,AUD,,0.00,AUD,1.00,0.39,
GEAR,ASX,Betashares Geared Australian Equities Complex Etf,2026-04-15,Buy,0.7583,37.54,AUD,,0.00,AUD,1.00,28.47,
BOQ,ASX,Bank Of Queensland.,2026-05-27,Reinvestment,4.0000,6.26,AUD,,0.00,AUD,1.00,25.05,
BTC,CRYPTO,Bitcoin,2018-01-01,Buy,0.0220,1.00,BTC,,0.00,AUD,0.00,379.02,
BTC,CRYPTO,Bitcoin,2026-02-14,Buy,0.0001,1.00,BTC,,0.10,AUD,"98,376.54",6.53,
GPRO,NASDAQ,GoPro Inc. - Ordinary Shares - Class A,2021-05-04,Buy,1.0000,0.00,USD,,0.00,AUD,0.78,0.00,
GPRO,NASDAQ,GoPro Inc. - Ordinary Shares - Class A,2021-05-24,Sell,-1.0000,10.10,USD,,0.01,USD,0.78,-13.02,
IVZ,NYSE,Invesco Ltd,2020-07-09,Buy,96.0000,8.53,USD,,0.00,AUD,0.70,"1,176.48",
AMC,NYSE,AMC Entertainment Holdings Inc - Ordinary Shares - Class A,2021-05-05,Buy,7.2743,9.37,USD,,0.00,AUD,0.78,87.91,
AMC,NYSE,AMC Entertainment Holdings Inc - Ordinary Shares - Class A,2021-05-27,Buy,0.5288,19.08,USD,,0.00,USD,0.77,13.03,
AMC,NYSE,AMC Entertainment Holdings Inc - Ordinary Shares - Class A,2021-10-08,Sell,-0.8031,37.90,USD,,0.01,USD,0.73,-41.63,
AMC,NYSE,AMC Entertainment Holdings Inc - Ordinary Shares - Class A,2021-10-14,Sell,-7.0000,40.00,USD,,0.00,USD,0.74,-377.56,
VAN8175AU,OTHER,Vanguard Ethically Conscious International Shares Index Fund,2021-03-04,Buy,462.2800,1.30,AUD,,0.00,AUD,1.00,599.99,
VAN8175AU,OTHER,Vanguard Ethically Conscious International Shares Index Fund,2021-03-24,Buy,36.7500,1.36,AUD,,0.00,AUD,1.00,50.01,
VAN8175AU,OTHER,Vanguard Ethically Conscious International Shares Index Fund,2021-04-06,Buy,35.4600,1.41,AUD,,0.00,AUD,1.00,50.00,
VAN0111AU,OTHER,Vanguard High Growth Index Fund,2021-04-09,Buy,306.9100,1.79,AUD,,0.00,AUD,1.00,549.00,
VAN0004AU,OTHER,Vanguard Australian Property Securities Index Fund,2021-04-13,Buy,684.4900,0.96,AUD,,0.00,AUD,1.00,658.00,
VAN8175AU,OTHER,Vanguard Ethically Conscious International Shares Index Fund,2021-04-17,Reinvestment,0.8300,1.37,AUD,,0.00,AUD,1.00,1.14,
VAN0111AU,OTHER,Vanguard High Growth Index Fund,2021-04-21,Buy,28.0100,1.78,AUD,,0.00,AUD,1.00,50.00,
VAN0111AU,OTHER,Vanguard High Growth Index Fund,2021-04-27,Buy,27.8600,1.80,AUD,,0.00,AUD,1.00,50.01,
VAN0111AU,OTHER,Vanguard High Growth Index Fund,2021-05-13,Buy,28.2400,1.77,AUD,,0.00,AUD,1.00,50.00,
VAN0004AU,OTHER,Vanguard Australian Property Securities Index Fund,2021-05-31,Sell,-684.4900,0.99,AUD,,0.00,AUD,1.00,-676.41,
VAN8175AU,OTHER,Vanguard Ethically Conscious International Shares Index Fund,2021-06-01,Sell,-535.3200,1.44,AUD,,0.00,AUD,1.00,-769.42,
VAN0111AU,OTHER,Vanguard High Growth Index Fund,2021-06-01,Sell,-391.0200,1.82,AUD,,0.00,AUD,1.00,-711.11,
Total,,,,,,,,,,,,,
